Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
TCR-AT_S3_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.921198458968292e-05)	(4, 3.842396917936584e-05)	(5, 5.7635953769048765e-05)	(6, 5.7635953769048765e-05)	(7, 5.7635953769048765e-05)	(8, 6.40399486322764e-05)	(9, 0.0001280798972645528)	(10, 0.00018443505206095604)	(15, 0.0003112341503528634)	(20, 0.00045084123837122586)	(25, 0.0005609899500187413)	(30, 0.0006224683007057266)	(35, 0.0018494737165001426)	(40, 0.006225963806029912)	(45, 0.006589710714261242)	(50, 0.006957300019410509)	(55, 0.007264691772845435)	(60, 0.007554152340663324)	(65, 0.007825681722864176)	(70, 0.008510909173229534)	(75, 0.010389841266100524)	(80, 0.015693629811825656)	(85, 0.023676849808325233)	(90, 0.036318335668336595)	(95, 0.0545620362346995)	(100, 0.09234432512876993)	(105, 0.13955201366253883)	(110, 0.2015273143509106)	(115, 0.27314318890638534)	(120, 0.3743941900909323)	(125, 0.5509548900680636)	(130, 0.7625262299624603)	(135, 1.0107002428971212)	(140, 1.1769133679742494)
TCR-AT_S3_L001_R2_001 - illumina_universal_adapter	(1, 0.00043547165069947953)	(2, 0.0008325193322195932)	(3, 0.0013832628904571704)	(4, 0.0022862261661722675)	(5, 0.0029458376370847146)	(6, 0.003861608902526267)	(7, 0.004854228106326551)	(8, 0.005866059294716518)	(9, 0.006986758395781356)	(10, 0.011638620264429913)	(15, 0.02281487209973479)	(20, 0.039850779234892955)	(25, 0.062453038705168586)	(30, 0.09401192539115441)	(35, 0.15420435390960363)	(40, 0.2186541582131266)	(45, 0.3109049850168934)	(50, 0.46599052861967716)	(55, 0.6717995539361418)	(60, 0.905456991314838)	(65, 1.1841127389994899)	(70, 1.5187240322010793)	(75, 1.925019082303694)	(80, 2.397592917642769)	(85, 2.954302437494929)	(90, 3.586187172247545)	(95, 4.316646038331879)	(100, 5.128598300648731)	(105, 6.017664907510624)	(110, 6.987423130448159)	(115, 8.079575784010672)	(120, 9.25362272388414)	(125, 10.553155943102556)	(130, 11.930779475683167)	(135, 13.437928927568446)	(140, 14.330379405316071)
TCR-AT_S3_L001_R2_001 - polyg	(1, 0.07018778370097493)	(2, 0.07794302148034361)	(3, 0.07892923668928066)	(4, 0.07969131207800476)	(5, 0.08033171156432752)	(6, 0.08097211105065029)	(7, 0.08180463038286988)	(8, 0.08251547381268814)	(9, 0.08336080113463419)	(10, 0.08517441247990026)	(15, 0.08662171531898971)	(20, 0.08738507150668644)	(25, 0.08789226789985408)	(30, 0.08831749315877238)	(35, 0.08871710243823779)	(40, 0.08908341094441441)	(45, 0.08943434986291929)	(50, 0.0898006583690959)	(55, 0.09016696687527255)	(60, 0.09051278259788682)	(65, 0.09084066713488408)	(70, 0.09122618762565039)	(75, 0.09173978801368124)	(80, 0.09442178106240098)	(85, 0.09989591587148797)	(90, 0.10856436331835291)	(95, 0.12290162701814693)	(100, 0.14258366483079077)	(105, 0.16865945111488106)	(110, 0.2141636770150314)	(115, 0.2754934550211898)	(120, 0.35578546181736537)	(125, 0.4666988104515501)	(130, 0.6577927363712903)	(135, 0.8735817472826088)	(140, 1.022852463549582)
TCR-AT_S3_L002_R1_001 - illumina_universal_adapter	(1, 0.00028812482405559395)	(2, 0.0007857949746970744)	(3, 0.001394786080087307)	(4, 0.0023049985924447516)	(5, 0.002953279446569838)	(6, 0.003961716330764416)	(7, 0.004734414722549873)	(8, 0.005697013566553789)	(9, 0.00681677140549712)	(10, 0.011602262801402304)	(15, 0.022869253080267188)	(20, 0.039708839388025496)	(25, 0.061819800317710005)	(30, 0.09249854578817496)	(35, 0.15005540836815331)	(40, 0.21136706126889257)	(45, 0.30060848688694813)	(50, 0.450514594209909)	(55, 0.6527716724054802)	(60, 0.8854285388554988)	(65, 1.1606637060094784)	(70, 1.4914323136835914)	(75, 1.8916691260957994)	(80, 2.3557609478101824)	(85, 2.90660191541454)	(90, 3.52991675353521)	(95, 4.2508155405886345)	(100, 5.049701859564163)	(105, 5.924319169226122)	(110, 6.886329976657305)	(115, 7.9735008979999495)	(120, 9.141336292811829)	(125, 10.437389853645032)	(130, 11.806743679376268)	(135, 13.312958106192202)	(140, 14.201738060614783)
TCR-AT_S3_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.964487436742686e-05)	(4, 2.6193165823235814e-05)	(5, 3.2741457279044766e-05)	(6, 4.583804019066267e-05)	(7, 5.238633164647163e-05)	(8, 5.238633164647163e-05)	(9, 6.548291455808953e-05)	(10, 0.0001139402713310758)	(15, 0.00024359644215609307)	(20, 0.0003784912461457575)	(25, 0.0004701673265270828)	(30, 0.0005500564822879521)	(35, 0.0016946978287633572)	(40, 0.005791308963517439)	(45, 0.006050621305167473)	(50, 0.006363629636755142)	(55, 0.006588890862834968)	(60, 0.006768314048724135)	(65, 0.007018458782336037)	(70, 0.007640546470637888)	(75, 0.009512048168708086)	(80, 0.015017851624752254)	(85, 0.02328834373343896)	(90, 0.03614525917777427)	(95, 0.05446868832941887)	(100, 0.09101994157745329)	(105, 0.13656461831089572)	(110, 0.19625884322205017)	(115, 0.26561834632197856)	(120, 0.364297169586146)	(125, 0.5357235819494774)	(130, 0.745682760555371)	(135, 0.9925834705800654)	(140, 1.1580653439598134)
TCR-AT_S3_L002_R2_001 - illumina_universal_adapter	(1, 0.00030122140696721184)	(2, 0.0007923432661528833)	(3, 0.0013751412057198802)	(4, 0.0022853537180773245)	(5, 0.002966376029481456)	(6, 0.0039879094965876525)	(7, 0.0047606078883731095)	(8, 0.00575594818965607)	(9, 0.00688225432005521)	(10, 0.011718822389315703)	(15, 0.023043437632991708)	(20, 0.040051969860309886)	(25, 0.06241962381506211)	(30, 0.09336030094375941)	(35, 0.15098395609658705)	(40, 0.21286138137910818)	(45, 0.30332078920794425)	(50, 0.45432831915377214)	(55, 0.6567346983945357)	(60, 0.8891243945531574)	(65, 1.1638959426720656)	(70, 1.4948112320747888)	(75, 1.8967270264162661)	(80, 2.3625659322910595)	(85, 2.914119354005809)	(90, 3.538058899131362)	(95, 4.260087921290061)	(100, 5.0611246991796754)	(105, 5.941478312156923)	(110, 6.9078044436574855)	(115, 7.996117387030021)	(120, 9.16613598221327)	(125, 10.463289656011046)	(130, 11.830014997551922)	(135, 13.330629325514849)	(140, 14.215076930310266)
TCR-AT_S3_L002_R2_001 - polyg	(1, 0.06449412254826238)	(2, 0.07148114953161054)	(3, 0.0722603962148518)	(4, 0.07308548093828372)	(5, 0.07374031008386463)	(6, 0.07442133239526875)	(7, 0.07539047953072849)	(8, 0.07609769500795585)	(9, 0.07698171435449006)	(10, 0.07901561368066432)	(15, 0.08090676025310194)	(20, 0.08167291035343158)	(25, 0.0822072509362256)	(30, 0.08261586432306808)	(35, 0.08294196923756737)	(40, 0.08326676449377549)	(45, 0.0835810824836543)	(50, 0.08385349140821598)	(55, 0.08415995144834783)	(60, 0.08446641148847969)	(65, 0.08477680050348504)	(70, 0.08514088550842801)	(75, 0.08560319488520811)	(80, 0.08838621875392692)	(85, 0.0939090477677562)	(90, 0.10289068432854376)	(95, 0.11739253058657825)	(100, 0.1370452629037521)	(105, 0.1631218691390745)	(110, 0.20673218057647097)	(115, 0.2657506218093859)	(120, 0.34298510021407014)	(125, 0.45192902516436373)	(130, 0.6382606585394076)	(135, 0.8513708749938365)	(140, 0.9997865911814552)
TCR-AT_S3_L003_R1_001 - illumina_universal_adapter	(1, 0.00031120684254543925)	(2, 0.0007035980787983844)	(3, 0.0012786542008932178)	(4, 0.002198743996244951)	(5, 0.002969995736466257)	(6, 0.003923912362529452)	(7, 0.004722225567319926)	(8, 0.005655846094956243)	(9, 0.0067383046777229885)	(10, 0.011671609668682432)	(15, 0.022831757657007574)	(20, 0.039639633300918214)	(25, 0.06274877096975975)	(30, 0.09390328205501515)	(35, 0.15276332056618538)	(40, 0.21435386085238473)	(45, 0.3035809218298476)	(50, 0.4549816976549753)	(55, 0.6574190425843266)	(60, 0.8880842012057777)	(65, 1.1605701471724221)	(70, 1.4880625790955868)	(75, 1.8856387919599846)	(80, 2.3485630294660114)	(85, 2.892843500979558)	(90, 3.511885327585117)	(95, 4.227839671105784)	(100, 5.019785313283133)	(105, 5.893413280116062)	(110, 6.843930986229369)	(115, 7.916604143407902)	(120, 9.065560863060465)	(125, 10.338453678146907)	(130, 11.679918891378394)	(135, 13.14371951441449)	(140, 14.009030140112086)
TCR-AT_S3_L003_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.3530732284584315e-05)	(4, 2.706146456916863e-05)	(5, 3.3826830711460785e-05)	(6, 4.0592196853752944e-05)	(7, 4.0592196853752944e-05)	(8, 4.73575629960451e-05)	(9, 6.765366142292157e-05)	(10, 0.00012989502993200942)	(15, 0.00030308840317468864)	(20, 0.0004816940693312016)	(25, 0.0005344639252410805)	(30, 0.0006075298795778358)	(35, 0.0016548085584046617)	(40, 0.005493477307541232)	(45, 0.005826333321742006)	(50, 0.0062200776312234096)	(55, 0.0064988107162858464)	(60, 0.006778896874576741)	(65, 0.007018390836013884)	(70, 0.007739578866782229)	(75, 0.00953104782126119)	(80, 0.014894630098870414)	(85, 0.023172732110579096)	(90, 0.03580908299115239)	(95, 0.05429341636512301)	(100, 0.09192102977532354)	(105, 0.1388307255327489)	(110, 0.20005458297403603)	(115, 0.26959172233097173)	(120, 0.36924962482662055)	(125, 0.5422021510346342)	(130, 0.7504292963085591)	(135, 0.9952895461697675)	(140, 1.1602061704739666)
TCR-AT_S3_L003_R2_001 - illumina_universal_adapter	(1, 0.00032473757483002355)	(2, 0.0007171288110829687)	(3, 0.0012989502993200942)	(4, 0.00222580546081412)	(5, 0.0029835264687508413)	(6, 0.003930677728671743)	(7, 0.004749287031889094)	(8, 0.005696438291809996)	(9, 0.0068127237052882025)	(10, 0.011773090160816813)	(15, 0.02303065942159096)	(20, 0.039815532820617804)	(25, 0.06283536765638109)	(30, 0.09407647542825784)	(35, 0.1535278069402644)	(40, 0.21623192649348502)	(45, 0.30626812526156594)	(50, 0.4576810787457498)	(55, 0.6589304253805146)	(60, 0.8883264013136717)	(65, 1.1594552148321722)	(70, 1.4853212527347304)	(75, 1.8795066640886113)	(80, 2.339201115798307)	(85, 2.88358983317013)	(90, 3.4987239842919022)	(95, 4.208009029869498)	(100, 4.995105257596052)	(105, 5.865545383902732)	(110, 6.811630422119609)	(115, 7.876171609195106)	(120, 9.012171299611953)	(125, 10.272146324586302)	(130, 11.607417168577907)	(135, 13.061370124657282)	(140, 13.919213139207015)
TCR-AT_S3_L003_R2_001 - polyg	(1, 0.06632764965903232)	(2, 0.07390485973839953)	(3, 0.07494672612431252)	(4, 0.07576533542752988)	(5, 0.07633362618348241)	(6, 0.07705752036070768)	(7, 0.07778817990407523)	(8, 0.07845795115216216)	(9, 0.07908713020339532)	(10, 0.0810896785815138)	(15, 0.08267142118558171)	(20, 0.08350085507462673)	(25, 0.08411785646680377)	(30, 0.08451160077628517)	(35, 0.08489722664639583)	(40, 0.08521384578185509)	(45, 0.08550069730628829)	(50, 0.0857834896110361)	(55, 0.08606763498901236)	(60, 0.08636666417250168)	(65, 0.08669004867410325)	(70, 0.08704184771350246)	(75, 0.08754654402771744)	(80, 0.09019450833581058)	(85, 0.09554320680790676)	(90, 0.10448160855510316)	(95, 0.11875788418856807)	(100, 0.138795545628809)	(105, 0.1653266054924219)	(110, 0.2102012791142458)	(115, 0.27040762548773223)	(120, 0.3479874321146248)	(125, 0.4570356628157752)	(130, 0.6441318634808648)	(135, 0.8556199152353745)	(140, 1.0023431169097214)
TCR-AT_S3_L004_R1_001 - illumina_universal_adapter	(1, 0.00033401621937213604)	(2, 0.000743945215874303)	(3, 0.00125256082264551)	(4, 0.0020572362602238378)	(5, 0.002785998920672135)	(6, 0.003795638856501546)	(7, 0.00461549684950588)	(8, 0.0057162321178913286)	(9, 0.00680178483085077)	(10, 0.011569107234616714)	(15, 0.022743468028157264)	(20, 0.03869577901426196)	(25, 0.060813725758867766)	(30, 0.09111658813363352)	(35, 0.14844743567777546)	(40, 0.20932189165834725)	(45, 0.29668231557958685)	(50, 0.44077235785009855)	(55, 0.6362416859377578)	(60, 0.8593645204783446)	(65, 1.1235030285022873)	(70, 1.4381053142511893)	(75, 1.8191965649771997)	(80, 2.264554054565952)	(85, 2.7833875211388612)	(90, 3.3688541869654274)	(95, 4.036948874186946)	(100, 4.769441888503413)	(105, 5.5590000556440655)	(110, 6.414807303386096)	(115, 7.384119335492952)	(120, 8.432339662915387)	(125, 9.601267378996742)	(130, 10.85013124939602)	(135, 12.2217475986701)	(140, 13.040987661668595)
TCR-AT_S3_L004_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.5182555426006184e-05)	(4, 3.036511085201237e-05)	(5, 4.554766627801855e-05)	(6, 7.591277713003091e-05)	(7, 8.350405484303401e-05)	(8, 9.10953325560371e-05)	(9, 0.00010627788798204328)	(10, 0.0001487890431748606)	(15, 0.00025962169778470575)	(20, 0.00037804563010755395)	(25, 0.00046914096266359104)	(30, 0.0005222799066546128)	(35, 0.0017110739965108968)	(40, 0.005790626639478758)	(45, 0.006107942047882288)	(50, 0.006390337578806003)	(55, 0.006618075910196096)	(60, 0.0068868071412364045)	(65, 0.007204122549639934)	(70, 0.007961732065397643)	(75, 0.009806412549657393)	(80, 0.0152235483256564)	(85, 0.023535997421394787)	(90, 0.03584601336080061)	(95, 0.053040257380752596)	(100, 0.08926887113828856)	(105, 0.13433221389821753)	(110, 0.19327696708414394)	(115, 0.2607968275746787)	(120, 0.3559990413734504)	(125, 0.5188380213395372)	(130, 0.7194770095497515)	(135, 0.9547610709865693)	(140, 1.1103458259701102)
TCR-AT_S3_L004_R2_001 - illumina_universal_adapter	(1, 0.00033401621937213604)	(2, 0.000743945215874303)	(3, 0.001237378267219504)	(4, 0.002064827537936841)	(5, 0.002793590198385138)	(6, 0.0038184126896405554)	(7, 0.004668635793496902)	(8, 0.005807327450447365)	(9, 0.006915653996545817)	(10, 0.011719414533334175)	(15, 0.022880111026991317)	(20, 0.03872158935848617)	(25, 0.060777287625845354)	(30, 0.0910983690671223)	(35, 0.14862810808734495)	(40, 0.20984417156500185)	(45, 0.2973473115072459)	(50, 0.4415360403880267)	(55, 0.6371738948409146)	(60, 0.860431854124793)	(65, 1.124746479791677)	(70, 1.4399029288136282)	(75, 1.8225002890378987)	(80, 2.2683770220222206)	(85, 2.786814223898511)	(90, 3.371593119964279)	(95, 4.03901825649151)	(100, 4.7708493113914034)	(105, 5.559478306139984)	(110, 6.4146053753989305)	(115, 7.382142566776485)	(120, 8.428509104181405)	(125, 9.594948399428437)	(130, 10.839706906840524)	(135, 12.20571633839578)	(140, 13.01994463984815)
TCR-AT_S3_L004_R2_001 - polyg	(1, 0.06940705212998727)	(2, 0.07597350735173494)	(3, 0.0768465042887303)	(4, 0.07769672739258665)	(5, 0.07846344644159996)	(6, 0.07915425271348324)	(7, 0.07993615431792256)	(8, 0.08068769081150987)	(9, 0.08149236624908819)	(10, 0.08356782157582324)	(15, 0.0852075375618319)	(20, 0.0861959219200649)	(25, 0.0868943194696612)	(30, 0.08733005881038756)	(35, 0.08770658618495253)	(40, 0.08798290869370584)	(45, 0.08830781537982238)	(50, 0.08862361253268329)	(55, 0.08892726364120342)	(60, 0.08917777580573252)	(65, 0.08955582143584008)	(70, 0.08985947254436019)	(75, 0.09040452628415382)	(80, 0.09295064082909506)	(85, 0.0984877187929595)	(90, 0.10766557354798026)	(95, 0.12133442819801361)	(100, 0.14003629997176803)	(105, 0.16541394136633736)	(110, 0.2086417131752622)	(115, 0.26708544203213036)	(120, 0.34245772018899545)	(125, 0.446845380020501)	(130, 0.6244159935164416)	(135, 0.8291694542471035)	(140, 0.9701121527778042)
TCR-YL_S2_L001_R1_001 - illumina_universal_adapter	(1, 0.00036966910879159524)	(2, 0.0007821420091274806)	(3, 0.0013813950907475402)	(4, 0.002381447311373224)	(5, 0.0031363505440634293)	(6, 0.004136402764689113)	(7, 0.004941892296477115)	(8, 0.0058563369340142194)	(9, 0.007070408112361354)	(10, 0.012285466423966574)	(15, 0.023957671252716778)	(20, 0.04137647965897674)	(25, 0.06466329876058119)	(30, 0.09740197328592022)	(35, 0.16022315250858626)	(40, 0.22603748413633115)	(45, 0.31974743583886756)	(50, 0.4715755974494855)	(55, 0.6767162705538944)	(60, 0.9179389834286289)	(65, 1.2012074716119419)	(70, 1.5416135737515944)	(75, 1.955303658268848)	(80, 2.430805530779078)	(85, 2.991055019293225)	(90, 3.626750470783338)	(95, 4.360642489580584)	(100, 5.185448983367147)	(105, 6.1007668182517545)	(110, 7.098530203405952)	(115, 8.225851326555652)	(120, 9.428734372043865)	(125, 10.764789352035425)	(130, 12.168656433343717)	(135, 13.727516043833884)	(140, 14.660158518783355)
TCR-YL_S2_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.1673761330260902e-05)	(4, 1.945626888376817e-05)	(5, 2.3347522660521805e-05)	(6, 3.1130030214029075e-05)	(7, 5.058629909779725e-05)	(8, 5.447755287455088e-05)	(9, 7.393382175831905e-05)	(10, 0.00011829411481331049)	(15, 0.00020467994865724115)	(20, 0.00024125773415872533)	(25, 0.0002817267734369631)	(30, 0.0003175263081830966)	(35, 0.0015222584774660219)	(40, 0.006010430583573663)	(45, 0.006158298227090302)	(50, 0.006298383363053432)	(55, 0.006397221208982976)	(60, 0.006525632583615845)	(65, 0.00687351067125762)	(70, 0.007756825278580695)	(75, 0.009666652632211378)	(80, 0.014470794544991417)	(85, 0.022725700306996575)	(90, 0.03586412955882755)	(95, 0.054590399234076735)	(100, 0.07971622487057496)	(105, 0.11855093756257622)	(110, 0.1832508141086589)	(115, 0.2563954896010523)	(120, 0.3577922240141878)	(125, 0.5292867822125187)	(130, 0.7419181188371782)	(135, 0.9975968394925525)	(140, 1.1671348752919315)
TCR-YL_S2_L001_R2_001 - illumina_universal_adapter	(1, 0.0003774516163451025)	(2, 0.0008132720393415096)	(3, 0.001404742613408062)	(4, 0.0024125773415872532)	(5, 0.0031596980667239513)	(6, 0.0041636415411263885)	(7, 0.004980804834244652)	(8, 0.005922488248219031)	(9, 0.007136559426566166)	(10, 0.012351617738171386)	(15, 0.024093865134903154)	(20, 0.04153524281306829)	(25, 0.06484463118657792)	(30, 0.09767591755180367)	(35, 0.16052900505543904)	(40, 0.22660405068622652)	(45, 0.32054358636159136)	(50, 0.4723771957274968)	(55, 0.6772003425237224)	(60, 0.9182572879875673)	(65, 1.2016977695878128)	(70, 1.5423038821715904)	(75, 1.9558616640604345)	(80, 2.4309884197065856)	(85, 2.9913608718400786)	(90, 3.6278408000915845)	(95, 4.362733649360211)	(100, 5.187214056080282)	(105, 6.101292137511617)	(110, 7.099102217711135)	(115, 8.227930812573948)	(120, 9.43294782163333)	(125, 10.77299756275211)	(130, 12.177989994652638)	(135, 13.73578262335722)	(140, 14.667228926895715)
TCR-YL_S2_L001_R2_001 - polyg	(1, 0.04623198612160993)	(2, 0.05227510323690832)	(3, 0.05285490004964462)	(4, 0.05335298053306908)	(5, 0.053679845850316384)	(6, 0.054045623705331225)	(7, 0.05452424791987193)	(8, 0.05491337329754729)	(9, 0.05527915115256213)	(10, 0.05632589841850886)	(15, 0.057293264107409814)	(20, 0.057766440566663045)	(25, 0.05809174938239966)	(30, 0.05828319906821593)	(35, 0.05849021376913923)	(40, 0.0586723244458913)	(45, 0.05880307057279022)	(50, 0.05894004270573196)	(55, 0.05911437087493051)	(60, 0.0593027075577254)	(65, 0.05945446645501877)	(70, 0.059608560104578226)	(75, 0.059897291134813346)	(80, 0.06250365291448293)	(85, 0.06783389233788005)	(90, 0.07714644087640686)	(95, 0.091589996644961)	(100, 0.11137001784295505)	(105, 0.13823990342219428)	(110, 0.18473960780364482)	(115, 0.24790088260639914)	(120, 0.3299261774680997)	(125, 0.44025411754964017)	(130, 0.6266747469848426)	(135, 0.8452744886522868)	(140, 0.9987836718944624)
TCR-YL_S2_L002_R1_001 - illumina_universal_adapter	(1, 0.00032124878683965083)	(2, 0.0008883917068158245)	(3, 0.0015308892804951262)	(4, 0.002451009262554373)	(5, 0.0031292011458825247)	(6, 0.004243656813807733)	(7, 0.005199471105515829)	(8, 0.006163217466034782)	(9, 0.007214216583473146)	(10, 0.012417653723394404)	(15, 0.024336380318585992)	(20, 0.04207089976589689)	(25, 0.06541577148312593)	(30, 0.09752716565011256)	(35, 0.15896500462459442)	(40, 0.22261827041794824)	(45, 0.31234107356505997)	(50, 0.46069138370696744)	(55, 0.6621032681590934)	(60, 0.9004611427184223)	(65, 1.181222270726823)	(70, 1.5176355867190674)	(75, 1.9197914754294452)	(80, 2.3883895453270734)	(85, 2.942603193141552)	(90, 3.5700544254935425)	(95, 4.296303540919143)	(100, 5.10685627008028)	(105, 5.998861034239449)	(110, 6.973433082271457)	(115, 8.086166698057829)	(120, 9.269522695294771)	(125, 10.585506055876746)	(130, 11.976862313920112)	(135, 13.531826216463065)	(140, 14.460637366318366)
TCR-YL_S2_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.5864137621711152e-05)	(4, 3.1728275243422304e-05)	(5, 3.569430964885009e-05)	(6, 4.3626378459705664e-05)	(7, 4.3626378459705664e-05)	(8, 6.345655048684461e-05)	(9, 7.535465370312796e-05)	(10, 0.00011977423904391919)	(15, 0.00024430771937435173)	(20, 0.0003196623730774797)	(25, 0.00036487516529935647)	(30, 0.00039343061301843653)	(35, 0.0015253368323275272)	(40, 0.0056619107171887095)	(45, 0.005811033610832794)	(50, 0.005923668987946944)	(55, 0.006021233434320468)	(60, 0.006143387294007643)	(65, 0.00640117953036045)	(70, 0.007158692101797157)	(75, 0.009027487513634731)	(80, 0.013966786762154498)	(85, 0.022348603874585586)	(90, 0.035811704267250756)	(95, 0.05488515692983407)	(100, 0.08035978912277783)	(105, 0.11821638072946716)	(110, 0.18181967448931258)	(115, 0.25298222982590335)	(120, 0.35118917377310627)	(125, 0.5198995181387178)	(130, 0.7307814995441242)	(135, 0.9837597633356221)	(140, 1.1529341337266688)
TCR-YL_S2_L002_R2_001 - illumina_universal_adapter	(1, 0.00033711292446136193)	(2, 0.0009240860164646745)	(3, 0.0015745156589548317)	(4, 0.0025342959850683565)	(5, 0.0032600802812616414)	(6, 0.004390400086808561)	(7, 0.0053819086881655084)	(8, 0.006361519186306171)	(9, 0.007436314510177102)	(10, 0.012677825580390467)	(15, 0.024740915827939625)	(20, 0.0426856350987382)	(25, 0.06623356777752513)	(30, 0.0986400349042756)	(35, 0.1602888669091262)	(40, 0.22470519772208433)	(45, 0.3159533377015237)	(50, 0.46605425542998696)	(55, 0.6678603637020124)	(60, 0.9060508716094322)	(65, 1.186906391236682)	(70, 1.5235489440175602)	(75, 1.9271841635611626)	(80, 2.397941342589106)	(85, 2.952861737734632)	(90, 3.5809840231080203)	(95, 4.308979780085772)	(100, 5.122199270781119)	(105, 6.020621871815151)	(110, 7.001112036386937)	(115, 8.115961134925163)	(120, 9.301005076405058)	(125, 10.61813620734396)	(130, 12.00511872264502)	(135, 13.552318716235908)	(140, 14.475077697588528)
TCR-YL_S2_L002_R2_001 - polyg	(1, 0.042063760903967115)	(2, 0.04753688838345747)	(3, 0.047996948374487085)	(4, 0.048413381987057004)	(5, 0.048702902498653236)	(6, 0.04903604938870917)	(7, 0.049416788691630235)	(8, 0.049853052476227296)	(9, 0.05025758798558093)	(10, 0.05130620748237604)	(15, 0.05222474105067312)	(20, 0.05269907876556228)	(25, 0.0529941517253261)	(30, 0.053212283617624624)	(35, 0.05340741251037168)	(40, 0.053589056886140275)	(45, 0.053762769193098005)	(50, 0.05391506491426643)	(55, 0.05406101498038618)	(60, 0.05419823977081397)	(65, 0.05436322680207978)	(70, 0.05453138666086991)	(75, 0.054791558517865976)	(80, 0.057471804569054076)	(85, 0.06300521577150692)	(90, 0.07240789013989513)	(95, 0.08734952815890377)	(100, 0.10765959034909947)	(105, 0.13480312981984727)	(110, 0.18061717285758688)	(115, 0.2425809079942285)	(120, 0.3216319057632151)	(125, 0.4294905910394671)	(130, 0.6138421818932047)	(135, 0.8282888350222095)	(140, 0.9806892594989399)
TCR-YL_S2_L003_R1_001 - illumina_universal_adapter	(1, 0.0003741409855141964)	(2, 0.0007401484713433016)	(3, 0.0012240917026062296)	(4, 0.0022285789137149957)	(5, 0.0029483936358455694)	(6, 0.0038756125999459693)	(7, 0.004697096068140183)	(8, 0.005746317527516951)	(9, 0.006893140983114814)	(10, 0.011933470737965846)	(15, 0.023698578032450308)	(20, 0.0410579064103405)	(25, 0.06452305300182869)	(30, 0.09729373658302977)	(35, 0.1595670635719622)	(40, 0.22318079130899773)	(45, 0.31331542146921015)	(50, 0.46184288591859807)	(55, 0.6606459519714403)	(60, 0.8947240061585233)	(65, 1.1701112918962162)	(70, 1.5031390632022132)	(75, 1.9069811495164573)	(80, 2.369094880974569)	(85, 2.9125875301818924)	(90, 3.529734712487496)	(95, 4.247802358885712)	(100, 5.053192071253036)	(105, 5.940970068680492)	(110, 6.9121310781795655)	(115, 8.013644433731722)	(120, 9.189343439911596)	(125, 10.496069872618415)	(130, 11.866468594260002)	(135, 13.387370407424488)	(140, 14.294153953566095)
TCR-YL_S2_L003_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.220024952763684e-05)	(4, 1.626699937018245e-05)	(5, 2.0333749212728065e-05)	(6, 2.440049905527368e-05)	(7, 3.25339987403649e-05)	(8, 4.880099811054736e-05)	(9, 6.913474732327543e-05)	(10, 9.028184650451262e-05)	(15, 0.00024237829061571852)	(20, 0.00028711253888372026)	(25, 0.0003147664378130305)	(30, 0.00034974048645892275)	(35, 0.0015575651896949697)	(40, 0.0059870691181956506)	(45, 0.006137538862369839)	(50, 0.00623839425846497)	(55, 0.00635958340377283)	(60, 0.0065686143456796745)	(65, 0.00690615458261096)	(70, 0.00773089145067921)	(75, 0.00943648633464284)	(80, 0.014020526757160257)	(85, 0.022125559193353662)	(90, 0.03544660497759607)	(95, 0.05411217340491192)	(100, 0.07963834881660223)	(105, 0.1187051745040324)	(110, 0.18315827940856932)	(115, 0.2547745574857661)	(120, 0.35392110529705956)	(125, 0.5219998762894698)	(130, 0.7288843876294188)	(135, 0.9771342516678047)	(140, 1.143008844245555)
TCR-YL_S2_L003_R2_001 - illumina_universal_adapter	(1, 0.000378207735356742)	(2, 0.0007482819710283928)	(3, 0.001240358701976412)	(4, 0.0022814466616680887)	(5, 0.0029971946339561167)	(6, 0.003936613847584153)	(7, 0.004770297565306004)	(8, 0.005827652524367863)	(9, 0.006990742979335909)	(10, 0.012097767431604688)	(15, 0.024018224570074388)	(20, 0.041371046148216524)	(25, 0.06474509754323168)	(30, 0.09761419647062233)	(35, 0.1603771601405973)	(40, 0.2249522675404106)	(45, 0.31605153076327486)	(50, 0.46504097799477595)	(55, 0.6633698610159774)	(60, 0.896923304473372)	(65, 1.171841287279235)	(70, 1.5036856343810512)	(75, 1.9040343825805486)	(80, 2.362733670870859)	(85, 2.9057008959985255)	(90, 3.5191424558476023)	(95, 4.231127057831339)	(100, 5.030608596027411)	(105, 5.914695611297772)	(110, 6.880363255109536)	(115, 7.973209553397259)	(120, 9.134934393768178)	(125, 10.42804290795225)	(130, 11.79038214475588)	(135, 13.299527797475534)	(140, 14.198093255535325)
